timestamp,day_of_year,minute_of_day,location_index,original_address,demand,order_id
1725302580,247,13,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",4,6146569813
1725303900,247,35,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6144792076
1725305880,247,68,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",2,6147558212
1725307620,247,97,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",4,6141496357
1725308820,247,117,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6146307177
1725308880,247,118,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6146328575
1725309120,247,122,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6147592132
1725309300,247,125,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6141742311
1725310620,247,147,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",3,6145197136
1725341580,247,663,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6142778483
1725342360,247,676,21,"Swaad, Sector 4, Delhi NCR",1,6147028506
1725345840,247,734,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6142288860
1725345840,247,734,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6148109643
1725348780,247,783,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6148607901
1725348840,247,784,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6148352067
1725350220,247,807,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6145276713
1725350700,247,815,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6147183914
1725351660,247,831,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",1,6138161887
1725354480,247,878,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6147423523
1725354840,247,884,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6140386019
1725356280,247,908,18,"Swaad, DLF Phase 1, Delhi NCR",1,6135720678
1725356400,247,910,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6149008599
1725356460,247,911,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6138922698
1725356940,247,919,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",2,6145082908
1725358560,247,946,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",2,6144953249
1725359640,247,964,21,"Swaad, Sector 4, Delhi NCR",1,6146100417
1725359880,247,968,18,"Swaad, DLF Phase 1, Delhi NCR",1,6135844564
1725360240,247,974,21,"Swaad, Sector 4, Delhi NCR",1,6142278831
1725360660,247,981,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6147135501
1725361740,247,999,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6142080099
1725362040,247,1004,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6145855027
1725363120,247,1022,20,"Swaad, Sector 135, Delhi NCR",1,6143616057
1725364800,247,1050,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6145069906
1725365940,247,1069,20,"Swaad, Sector 135, Delhi NCR",1,6148274929
1725366780,247,1083,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",3,6141731187
1725367440,247,1094,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",2,6147850010
1725367440,247,1094,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6147309369
1725367500,247,1095,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6148967715
1725367740,247,1099,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6146137483
1725368100,247,1105,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6145335486
1725368460,247,1111,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6144384297
1725368820,247,1117,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6131693661
